DATE,OBS_1,OBS_2,OBS_3,OBS_4,OBS_5,OBS_6,OBS_7,OBS_8,OBS_9,OBS_10,OBS_11,OBS_12,OBS_13,OBS_14,OBS_15,OBS_16,OBS_17,OBS_18,OBS_19,OBS_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2014,424100,371500,338100,289700,172600,162300,348900,243600,504200,451500,146100,177800,273300,334200,558800,323900,308000,474100,111800,123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2014,427800,370300,342200,289700,174200,164700,352100,250100,497000,446900,146700,178200,275500,334000,574100,326800,308300,482500,113200,122400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2014,430900,376100,336900,293900,177100,164400,366800,244800,483500,438900,146000,172000,272800,333200,540600,324700,300900,480500,112400,128600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2015,444800,375200,342300,306200,180400,165400,364300,243900,482600,440200,145300,175300,272000,350200,580100,324400,296900,511300,112700,133300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2015,459700,372500,342900,297000,179900,163500,361500,245100,493100,441600,148200,175200,274700,347600,588000,330300,304900,529000,113900,133200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2015,445100,372500,343900,294300,182100,166500,358900,249500,488200,443600,149400,174900,284100,347100,591800,330800,301000,531600,114300,143900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2015,457200,365400,346100,315000,182600,165600,358600,248100,503200,446800,152200,176500,287200,350200,595500,335400,298500,529200,116200,146300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2015,453000,376400,339800,312100,186200,176800,354400,261100,522900,451800,154500,185600,294300,354200,609900,340400,302100,519600,117700,144200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2015,478200,371800,329200,331100,189400,177400,359700,263200,558200,453400,156900,186700,291400,358100,608700,341100,280400,523400,117700,146500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2015,484500,383800,344200,356200,187300,177900,367000,271300,545500,457800,158400,189800,292100,361500,600200,346200,282100,522100,118700,143100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2015,485200,384300,347700,358600,188500,179300,366400,271300,573400,455000,155000,185000,292300,355600,621800,342600,283000,531800,117900,148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2015,482800,383800,336100,356300,189200,177200,361800,273000,559800,450100,152500,190200,292600,352700,618500,340000,282000,529200,134100,139600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2015,480200,381200,346700,355700,187300,179200,365500,272700,551500,456100,155400,188600,291700,355100,609600,344000,284500,528600,175400,133300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2015,482400,373200,348200,347400,186100,177600,358700,268700,540000,450400,154300,189400,295900,385100,606700,336500,283100,534500,219700,143900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2015,473300,371900,351200,349500,186000,182600,361500,266700,582400,452200,156200,190200,242800,385700,606300,341600,283600,536600,236100,154800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2016,484000,372400,353900,352000,187400,180800,362200,266700,600600,451300,157400,184400,243500,386200,623300,341300,283200,562700,243300,149600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2016,481700,370500,355800,350300,184100,179500,351200,266200,623000,452800,156000,183500,244200,384000,636900,344600,283000,528100,254000,154500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2016,476600,371600,347300,349400,184100,180400,364000,255200,624200,453300,155800,184200,244400,377900,633900,340400,283400,528400,229400,157400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2016,517200,389100,358300,341600,185300,183100,362200,257000,587900,467500,161000,193000,247900,378600,632900,351800,292200,568000,233500,158700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2016,504000,390500,361400,351400,185600,184100,362300,263700,587800,466700,163900,198900,248400,376600,644300,352700,292600,546900,232500,159000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2016,512700,389100,351000,344900,187100,185200,354000,259000,568200,463200,161700,200900,246700,371800,638200,352000,288400,550500,240000,162900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2016,487900,387200,358000,339300,188800,185500,344800,252800,551800,459000,164100,196500,245900,373300,630000,362400,286800,551800,253000,163300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,477900,394200,358100,337600,192100,188900,352800,252500,554200,470100,165700,196400,250500,373600,616800,377800,294600,564500,250200,166500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2016,491700,391500,352300,332600,191500,188600,347500,250300,554600,475600,163400,201700,253800,374200,625800,386100,297900,549500,258600,174300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2016,484100,391400,354000,329400,192300,189100,348000,249300,560000,477300,168500,199500,254800,374000,616000,388700,299600,560400,264000,172300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2016,474500,398600,354400,336500,194000,182400,355600,250400,569400,482600,174400,202100,257400,369600,612700,394400,303000,551500,264200,174400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2016,474400,392900,345000,333000,193300,179500,348200,251400,574300,477800,175300,199900,254900,369300,615500,382100,298700,549700,266700,171200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2017,475900,405200,351000,339700,194200,197400,339100,263900,602000,475000,178100,201100,253200,370300,610000,388800,296900,540200,242300,176000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2017,473900,401000,355400,332200,196200,198100,339500,268800,618500,479500,178500,202200,255500,369600,618700,402100,299800,542300,242500,176500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2017,484100,395400,360000,337800,197800,199700,341500,274700,631300,485400,179300,200500,258700,375200,624700,411700,303400,540000,240500,177300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2017,468000,401500,361600,337700,198000,200300,338600,275900,644000,486400,179800,204200,259200,376400,629000,411100,303700,550400,240000,177700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2017,455900,402800,365100,342400,195200,202200,340500,283500,649300,485900,184000,210600,259800,377400,640300,414900,304200,544900,245600,178100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2017,449300,396600,373000,337000,196700,205500,342400,287100,641200,496000,182300,213500,264000,380700,637800,396100,309600,543700,245800,186900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2017,454600,397900,367500,342400,199400,205500,350300,291200,648800,501500,185800,215600,266900,383900,644300,371600,312600,537100,251300,179400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2017,443900,397700,362500,338700,199100,203300,345700,290800,648300,503400,183100,217300,267900,385700,648200,363300,313900,529300,258500,180700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2017,439400,404000,374800,338600,204700,205000,341900,297800,650400,506600,183700,217200,270700,389700,643900,365400,317700,525200,256500,179200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2017,464600,417700,375100,338300,211200,205700,348100,298500,652200,504000,184400,208400,269400,388800,639400,374100,316000,531700,242300,173200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2017,468100,409400,370000,339500,216600,205200,350800,296200,638500,510500,183800,214600,272400,390600,657700,368600,318400,524300,246900,169700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2017,484200,422400,382900,338900,219900,206100,345500,299300,652900,516500,184400,220700,275400,395900,680600,380100,323400,511600,246400,171200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2018,525900,438300,399900,350700,224700,205600,357100,298700,642700,534000,188700,230100,283500,409800,664700,375400,334400,543100,248200,167200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
