EVENT,PROPERTY_ID,MONTHS_POST_FLOOD,ABSOLUTE_VALUE,PERCENTAGE_CHANGE_FROM_MEDIAN_PRICE,SINGLE_STORY,YEAR_BUILT,SQUARE_FOOTAGE,LOT_SIZE,ZONE,CUMUL_FLOODS
Matthew,10021,100,484100,0.072,0,2005,3600,10890,1c,0
Matthew,10021,101,474500,-1.912,0,2005,3600,10890,1c,0
Matthew,10021,102,474400,-1.933,0,2005,3600,10890,1c,0
Matthew,10021,103,475900,-1.623,0,2005,3600,10890,1c,0
Matthew,10021,104,473900,-2.036,0,2005,3600,10890,1c,0
Matthew,10021,105,484100,0.072,0,2005,3600,10890,1c,0
Matthew,10021,106,468000,-3.256,0,2005,3600,10890,1c,0
Matthew,10021,107,455900,-5.757,0,2005,3600,10890,1c,0
Matthew,10021,108,449300,-7.121,0,2005,3600,10890,1c,0
Matthew,10021,109,454600,-6.026,0,2005,3600,10890,1c,0
Matthew,10021,110,443900,-8.238,0,2005,3600,10890,1c,0
Matthew,10021,111,439400,-9.168,0,2005,3600,10890,1c,0
Matthew,10021,112,464600,-3.959,0,2005,3600,10890,1c,0
Matthew,10021,113,468100,-3.235,0,2005,3600,10890,1c,0
Matthew,10021,114,484200,0.093,0,2005,3600,10890,1c,0
Matthew,10021,115,525900,8.713,0,2005,3600,10890,1c,0
Matthew,10021,116,515200,6.501,0,2005,3600,10890,1c,0
Matthew,10021,117,473700,-2.078,0,2005,3600,10890,1c,0
Matthew,10021,118,470700,-2.698,0,2005,3600,10890,1c,0
Matthew,10021,119,482600,-0.238,0,2005,3600,10890,1c,0
Matthew,10021,120,472800,-2.264,0,2005,3600,10890,1c,0
Matthew,10021,121,454000,-6.15,0,2005,3600,10890,1c,0
Matthew,10021,122,449400,-7.101,0,2005,3600,10890,1c,0
Florence,10021,123,454100,-6.129,0,2005,3600,10890,1c,0
Florence,10021,124,479100,-0.961,0,2005,3600,10890,1c,0
Florence,10021,125,480200,-0.734,0,2005,3600,10890,1c,0
Florence,10021,126,492100,1.726,0,2005,3600,10890,1c,0
Florence,10021,127,511100,5.654,0,2005,3600,10890,1c,0
Florence,10021,128,492800,1.871,0,2005,3600,10890,1c,0
Florence,10021,129,484700,0.196,0,2005,3600,10890,1c,0
Florence,10021,130,485700,0.403,0,2005,3600,10890,1c,0
Florence,10021,131,492300,1.767,0,2005,3600,10890,1c,0
Florence,10021,132,478200,-1.147,0,2005,3600,10890,1c,0
Florence,10021,133,501500,3.669,0,2005,3600,10890,1c,0
Florence,10021,134,492200,1.747,0,2005,3600,10890,1c,0
Florence,10021,135,501500,3.669,0,2005,3600,10890,1c,0
Florence,10021,136,491600,1.623,0,2005,3600,10890,1c,0
Florence,10021,137,514500,6.357,0,2005,3600,10890,1c,0
Florence,10021,138,506300,4.661,0,2005,3600,10890,1c,0
Florence,10021,139,473600,-2.098,0,2005,3600,10890,1c,0
Florence,10021,140,483400,-0.072,0,2005,3600,10890,1c,0
Florence,10021,141,492100,1.726,0,2005,3600,10890,1c,0
Florence,10021,142,495100,2.346,0,2005,3600,10890,1c,0
Florence,10021,143,492000,1.705,0,2005,3600,10890,1c,0
Florence,10021,144,525700,8.672,0,2005,3600,10890,1c,0
Florence,10021,145,535600,10.718,0,2005,3600,10890,1c,0
Florence,10021,146,524500,8.424,0,2005,3600,10890,1c,0
