EVENT,PROPERTY_ID,MONTHS_POST_FLOOD,ABSOLUTE_VALUE,PERCENTAGE_CHANGE_FROM_MEDIAN_PRICE,SINGLE_STORY,YEAR_BUILT,SQUARE_FOOTAGE,LOT_SIZE,ZONE,CUMUL_FLOODS
Matthew,10021,1,484100,0.072,0,2005,3600,10890,1c,0
Matthew,10021,2,474500,-1.912,0,2005,3600,10890,1c,0
Matthew,10021,3,474400,-1.933,0,2005,3600,10890,1c,0
Matthew,10021,4,475900,-1.623,0,2005,3600,10890,1c,0
Matthew,10021,5,473900,-2.036,0,2005,3600,10890,1c,0
Matthew,10021,6,484100,0.072,0,2005,3600,10890,1c,0
Matthew,10021,7,468000,-3.256,0,2005,3600,10890,1c,0
Matthew,10021,8,455900,-5.757,0,2005,3600,10890,1c,0
Matthew,10021,9,449300,-7.121,0,2005,3600,10890,1c,0
Matthew,10021,10,454600,-6.026,0,2005,3600,10890,1c,0
Matthew,10021,11,443900,-8.238,0,2005,3600,10890,1c,0
Matthew,10021,12,439400,-9.168,0,2005,3600,10890,1c,0
Matthew,10021,13,464600,-3.959,0,2005,3600,10890,1c,0
Matthew,10021,14,468100,-3.235,0,2005,3600,10890,1c,0
Matthew,10021,15,484200,0.093,0,2005,3600,10890,1c,0
Matthew,10021,16,525900,8.713,0,2005,3600,10890,1c,0
Matthew,10021,17,515200,6.501,0,2005,3600,10890,1c,0
Matthew,10021,18,473700,-2.078,0,2005,3600,10890,1c,0
Matthew,10021,19,470700,-2.698,0,2005,3600,10890,1c,0
Matthew,10021,20,482600,-0.238,0,2005,3600,10890,1c,0
Matthew,10021,21,472800,-2.264,0,2005,3600,10890,1c,0
Matthew,10021,22,454000,-6.15,0,2005,3600,10890,1c,0
Matthew,10021,23,449400,-7.101,0,2005,3600,10890,1c,0
Florence,10021,1,454100,-6.129,0,2005,3600,10890,1c,0
Florence,10021,2,479100,-0.961,0,2005,3600,10890,1c,0
Florence,10021,3,480200,-0.734,0,2005,3600,10890,1c,0
Florence,10021,4,492100,1.726,0,2005,3600,10890,1c,0
Florence,10021,5,511100,5.654,0,2005,3600,10890,1c,0
Florence,10021,6,492800,1.871,0,2005,3600,10890,1c,0
Florence,10021,7,484700,0.196,0,2005,3600,10890,1c,0
Florence,10021,8,485700,0.403,0,2005,3600,10890,1c,0
Florence,10021,9,492300,1.767,0,2005,3600,10890,1c,0
Florence,10021,10,478200,-1.147,0,2005,3600,10890,1c,0
Florence,10021,11,501500,3.669,0,2005,3600,10890,1c,0
Florence,10021,12,492200,1.747,0,2005,3600,10890,1c,0
