EVENT,PROPERTY_ID,MONTHS_POST_FLOOD,ABSOLUTE_VALUE,PERCENTAGE_CHANGE_FROM_MEDIAN_PRICE,SINGLE_STORY,YEAR_BUILT,SQUARE_FOOTAGE,LOT_SIZE,ZONE,CUMUL_FLOODS,DIFF
Matthew,10001,1,254700,-4.803,1,2004,2032,19166,1,1,1100
Matthew,10001,2,255800,-4.392,1,2004,2032,19166,1,1,3900
Matthew,10001,3,259700,-2.934,1,2004,2032,19166,1,1,3800
Matthew,10001,4,263500,-1.514,1,2004,2032,19166,1,1,2200
Matthew,10001,5,265700,-0.691,1,2004,2032,19166,1,1,500
Matthew,10001,6,266200,-0.505,1,2004,2032,19166,1,1,5900
Matthew,10001,7,272100,1.701,1,2004,2032,19166,1,1,-5000
Matthew,10001,8,267100,-0.168,1,2004,2032,19166,1,1,1000
Matthew,10001,9,268100,0.206,1,2004,2032,19166,1,1,-800
Matthew,10001,10,267300,-0.093,1,2004,2032,19166,1,1,2200
Matthew,10001,11,269500,0.729,1,2004,2032,19166,1,1,2100
Matthew,10001,12,271600,1.514,1,2004,2032,19166,1,1,-16500
Matthew,10001,13,255100,-4.653,1,2004,2032,19166,1,1,1700
Matthew,10001,14,256800,-4.018,1,2004,2032,19166,1,1,2200
Matthew,10001,15,259000,-3.196,1,2004,2032,19166,1,1,4400
Matthew,10001,16,263400,-1.551,1,2004,2032,19166,1,1,500
Matthew,10001,17,263900,-1.364,1,2004,2032,19166,1,1,-1900
Matthew,10001,18,262000,-2.074,1,2004,2032,19166,1,1,300
Matthew,10001,19,262300,-1.962,1,2004,2032,19166,1,1,1100
Matthew,10001,20,263400,-1.551,1,2004,2032,19166,1,1,-1100
Matthew,10001,21,262300,-1.962,1,2004,2032,19166,1,1,-400
Matthew,10001,22,261900,-2.112,1,2004,2032,19166,1,1,1800
Matthew,10001,23,263700,-1.439,1,2004,2032,19166,1,1,200
Florence,10001,1,263900,-1.364,1,2004,2032,19166,1,2,2800
Florence,10001,2,266700,-0.318,1,2004,2032,19166,1,2,800
Florence,10001,3,267500,-0.019,1,2004,2032,19166,1,2,900
Florence,10001,4,268400,0.318,1,2004,2032,19166,1,2,-1700
Florence,10001,5,266700,-0.318,1,2004,2032,19166,1,2,-200
Florence,10001,6,266500,-0.392,1,2004,2032,19166,1,2,1100
Florence,10001,7,267600,0.019,1,2004,2032,19166,1,2,3300
