PRCNT_CHNG_FROM_MED_PRICE,MONTHS_POST_FLOOD,YEAR_BUILT,SQUARE_FOOTAGE,CUMUL_FLOODS
-4.803,1,2004,2032,1
-4.392,2,2004,2032,1
-2.934,3,2004,2032,1
-1.514,4,2004,2032,1
-0.691,5,2004,2032,1
-0.505,6,2004,2032,1
1.701,7,2004,2032,1
-0.168,8,2004,2032,1
0.206,9,2004,2032,1
-0.093,10,2004,2032,1
0.729,11,2004,2032,1
1.514,12,2004,2032,1
-4.653,13,2004,2032,1
-4.018,14,2004,2032,1
-3.196,15,2004,2032,1
-1.551,16,2004,2032,1
-1.364,17,2004,2032,1
-2.074,18,2004,2032,1
-1.962,19,2004,2032,1
-1.551,20,2004,2032,1
-1.962,21,2004,2032,1
-2.112,22,2004,2032,1
-1.439,23,2004,2032,1
-1.364,1,2004,2032,2
-0.318,2,2004,2032,2
-0.019,3,2004,2032,2
0.318,4,2004,2032,2
-0.318,5,2004,2032,2
-0.392,6,2004,2032,2
0.019,7,2004,2032,2
1.252,8,2004,2032,2
1.551,9,2004,2032,2
2.897,10,2004,2032,2
3.457,11,2004,2032,2
3.906,12,2004,2032,2
4.392,13,2004,2032,2
4.354,14,2004,2032,2
5.064,15,2004,2032,2
5.251,16,2004,2032,2
6.597,17,2004,2032,2
7.905,18,2004,2032,2
8.391,19,2004,2032,2
7.905,20,2004,2032,2
10.409,21,2004,2032,2
10.036,22,2004,2032,2
10.447,23,2004,2032,2
10.447,24,2004,2032,2
11.643,25,2004,2032,2
-1.705,1,2007,2450,1
-4.108,2,2007,2450,1
-4.108,3,2007,2450,1
-2.269,4,2007,2450,1
-1.498,5,2007,2450,1
-1.498,6,2007,2450,1
-5.502,7,2007,2450,1
-5.65,8,2007,2450,1
-3.426,9,2007,2450,1
-4.138,10,2007,2450,1
-4.286,11,2007,2450,1
-1.883,12,2007,2450,1
-0.994,13,2007,2450,1
0.104,14,2007,2450,1
1.053,15,2007,2450,1
2.951,16,2007,2450,1
-0.133,17,2007,2450,1
0.549,18,2007,2450,1
-1.053,19,2007,2450,1
-1.112,20,2007,2450,1
-1.794,21,2007,2450,1
-2.091,22,2007,2450,1
-2.269,23,2007,2450,1
-2.566,1,2007,2450,2
-0.845,2,2007,2450,2
1.32,3,2007,2450,2
1.587,4,2007,2450,2
2.121,5,2007,2450,2
1.053,6,2007,2450,2
0.727,7,2007,2450,2
1.231,8,2007,2450,2
1.379,9,2007,2450,2
1.883,10,2007,2450,2
2.536,11,2007,2450,2
0.756,12,2007,2450,2
1.023,13,2007,2450,2
-0.193,14,2007,2450,2
-0.133,15,2007,2450,2
-0.104,16,2007,2450,2
6.866,17,2007,2450,2
6.807,18,2007,2450,2
7.371,19,2007,2450,2
8.112,20,2007,2450,2
7.638,21,2007,2450,2
6.926,22,2007,2450,2
6.866,23,2007,2450,2
6.659,24,2007,2450,2
6.718,25,2007,2450,2
-10.516,1,2006,2481,1
-9.818,2,2006,2481,1
-9.768,3,2006,2481,1
-9.918,4,2006,2481,1
-10.491,5,2006,2481,1
-10.017,6,2006,2481,1
-10.017,7,2006,2481,1
-9.046,8,2006,2481,1
-9.718,9,2006,2481,1
-7.974,10,2006,2481,1
-5.333,11,2006,2481,1
-3.987,12,2006,2481,1
-3.763,13,2006,2481,1
-4.261,14,2006,2481,1
-5.158,15,2006,2481,1
-0.349,16,2006,2481,1
-2.367,17,2006,2481,1
-3.987,18,2006,2481,1
0.723,19,2006,2481,1
3.738,20,2006,2481,1
1.894,21,2006,2481,1
-0.598,22,2006,2481,1
-2.018,23,2006,2481,1
-1.072,1,2006,2481,2
-1.271,2,2006,2481,2
