DATE,OBS_1,OBS_2,OBS_3,OBS_4,OBS_5,OBS_6,OBS_7,OBS_8,OBS_9,OBS_10,OBS_11,OBS_12,OBS_13,OBS_14,OBS_15,OBS_16,OBS_17,OBS_18,OBS_19,OBS_20
10/1/2014,240200,295900,355200,380300,185900,214700,118700,133300,175100,331700,261500,215900,213800,181800,926100,783400,569600,823200,162700,105000
11/1/2014,244400,299800,354200,384600,186600,217000,119800,134400,173600,335200,260200,218300,213400,183600,942800,819700,576500,848900,162200,106800
12/1/2014,241600,292200,353100,381600,185200,214900,120100,133000,174000,333900,259200,214000,211300,182100,936000,825200,547300,847400,162100,107000
1/1/2015,241700,291300,364000,382300,180600,216200,124700,133800,175900,337400,258000,210800,213400,180900,950000,755300,580100,800200,174500,105400
2/1/2015,244100,290900,365700,387600,193000,219300,125200,134200,174900,334700,258800,212300,214200,184900,919900,723800,620800,797300,170200,105200
3/1/2015,249500,288100,375100,389500,191900,219500,132400,135400,176500,335100,261300,213900,213900,184000,907200,718900,613000,804200,171600,105100
4/1/2015,245300,290400,373800,396200,199000,222200,144800,135900,181200,340300,255600,217700,215600,185600,903900,708000,603800,830600,176600,102100
5/1/2015,252200,290400,382200,401700,197900,226200,148400,137400,187000,341800,254800,220900,219100,184400,910400,728600,605000,822700,179800,100300
6/1/2015,250800,293600,372700,401900,197200,226100,145700,140400,189000,347600,254900,229900,217900,185600,906000,680700,620700,832900,182600,100100
7/1/2015,256000,291500,368300,404900,198100,227800,139000,141400,190500,352500,254400,230900,218000,183400,909900,734800,611800,831700,181400,100900
8/1/2015,257000,293500,357100,402700,197600,228000,134200,140100,193400,352900,256600,222600,216300,181400,918300,769500,616300,850300,180800,96100
9/1/2015,255100,294500,357800,398800,198000,225800,127600,132400,196300,356000,257100,216200,218600,181400,619000,745800,638000,818900,180300,105900
10/1/2015,256900,297500,349100,403800,199100,228600,119900,134600,198500,354000,258400,218700,221300,180900,618800,799800,623400,828400,182200,107400
11/1/2015,253900,304700,334400,399600,200000,225700,118200,136200,194700,350600,258200,216500,220600,182000,611500,772400,616700,820600,181100,103300
12/1/2015,257600,304200,331900,386300,199300,226400,116300,135900,203400,355000,258500,215000,218400,181200,594700,751300,647600,792300,182400,113100
1/1/2016,256600,304700,318000,371600,200400,226400,123200,137000,206500,349300,258400,218800,218100,184700,563500,670600,620300,730600,184100,112300
2/1/2016,257800,303100,317700,365200,203200,227000,125000,139800,200800,350700,258100,220000,217600,194300,587800,661600,619900,735700,183300,114800
3/1/2016,252800,309500,319900,357200,198800,227400,121100,141400,201400,341900,258500,221100,232900,187800,582800,656900,617000,714100,185300,115000
4/1/2016,266200,313000,324200,352900,199300,233500,122900,141900,203200,333400,266200,225900,235000,193100,581800,701800,623700,724800,185400,118400
5/1/2016,258600,340100,339700,359400,203000,233400,126300,143400,213100,321500,266400,227200,221000,194400,571200,677500,636800,720400,186500,109400
6/1/2016,255800,334200,339000,434200,205200,230400,119700,142500,205400,324900,262200,226100,222200,192200,581000,681500,639500,715400,187300,113800
7/1/2016,257300,334900,340500,436100,205000,230100,125700,142900,210900,324400,262000,225200,222000,190800,573100,658800,631600,680500,185500,107700
8/1/2016,261100,333900,353700,436200,201300,235800,135100,140200,220300,320400,268000,226800,219000,194300,584600,659600,626800,715200,190500,107700
9/1/2016,258100,332600,357800,436100,202000,238400,137500,144700,218600,321400,271500,232600,216200,198000,594900,680100,634200,697200,189500,113500
10/1/2016,254700,331400,359100,436000,203000,239700,137400,144200,210700,324000,272800,243900,216600,195300,690200,722200,647200,725800,187000,125300
